Timestamop,IP Address,Reactors,Output Type,Current Output
3801476011,192.168.1.198,1,ISET,2
3801476011,192.168.1.198,1,VOUT,1
3801476011,192.168.1.198,1,IOUT,0.116
3801476011,192.168.1.198,2,VSET,1
3801476011,192.168.1.198,2,ISET,2
3801476011,192.168.1.198,2,VOUT,1
3801476011,192.168.1.198,2,IOUT,0.12
0,,0,,0
3801476071,192.168.1.200,1,VSET,1.1
3801476071,192.168.1.200,1,ISET,3
3801476071,192.168.1.200,1,VOUT,1.1
3801476071,192.168.1.200,1,IOUT,0.273
3801476071,192.168.1.200,2,VSET,1.1
3801476071,192.168.1.200,2,ISET,2.01
3801476071,192.168.1.200,2,VOUT,1.1
3801476071,192.168.1.200,2,IOUT,0.138
3801476071,192.168.1.201,1,VSET,1
3801476071,192.168.1.201,1,ISET,2.001
3801476071,192.168.1.201,1,VOUT,1
3801476071,192.168.1.201,1,IOUT,0.149
3801476071,192.168.1.201,2,VSET,1.1
3801476071,192.168.1.201,2,ISET,2.1
3801476071,192.168.1.201,2,VOUT,1.1
3801476071,192.168.1.201,2,IOUT,0.081
3801476072,192.168.1.198,1,VSET,1
3801476072,192.168.1.198,1,ISET,2
3801476072,192.168.1.198,1,VOUT,1
3801476072,192.168.1.198,1,IOUT,0.116
3801476072,192.168.1.198,2,VSET,1
3801476072,192.168.1.198,2,ISET,2
3801476072,192.168.1.198,2,VOUT,1
3801476072,192.168.1.198,2,IOUT,0.117
0,,0,,0
3801476131,192.168.1.200,1,VSET,1.1
3801476131,192.168.1.200,1,ISET,3
3801476131,192.168.1.200,1,VOUT,1.1
3801476131,192.168.1.200,1,IOUT,0.194
3801476131,192.168.1.200,2,VSET,1.1
3801476131,192.168.1.200,2,ISET,2.01
3801476131,192.168.1.200,2,VOUT,1.1
3801476131,192.168.1.200,2,IOUT,0.138
3801476131,192.168.1.201,1,VSET,1
3801476131,192.168.1.201,1,ISET,2.001
3801476131,192.168.1.201,1,VOUT,1
3801476131,192.168.1.201,1,IOUT,0.151
3801476131,192.168.1.201,2,VSET,1.1
3801476131,192.168.1.201,2,ISET,2.1
3801476131,192.168.1.201,2,VOUT,1.1
3801476131,192.168.1.201,2,IOUT,0.062
3801476132,192.168.1.198,1,VSET,1
3801476132,192.168.1.198,1,ISET,2
3801476132,192.168.1.198,1,VOUT,1
3801476132,192.168.1.198,1,IOUT,0.116
3801476132,192.168.1.198,2,VSET,1
3801476132,192.168.1.198,2,ISET,2
3801476132,192.168.1.198,2,VOUT,1
3801476132,192.168.1.198,2,IOUT,0.118
0,,0,,0
3801476191,192.168.1.200,1,VSET,1.1
3801476191,192.168.1.200,1,ISET,3
3801476191,192.168.1.200,1,VOUT,1.1
3801476191,192.168.1.200,1,IOUT,0.327
3801476191,192.168.1.200,2,VSET,1.1
3801476191,192.168.1.200,2,ISET,2.01
3801476191,192.168.1.200,2,VOUT,1.1
3801476191,192.168.1.200,2,IOUT,0.138
3801476191,192.168.1.201,1,VSET,1
3801476191,192.168.1.201,1,ISET,2.001
3801476191,192.168.1.201,1,VOUT,1
3801476191,192.168.1.201,1,IOUT,0.145
3801476191,192.168.1.201,2,VSET,1.1
3801476191,192.168.1.201,2,ISET,2.1
3801476191,192.168.1.201,2,VOUT,1.1
3801476191,192.168.1.201,2,IOUT,0.071
3801476192,192.168.1.198,1,VSET,1
3801476192,192.168.1.198,1,ISET,2
3801476192,192.168.1.198,1,VOUT,1
3801476192,192.168.1.198,1,IOUT,0.117
3801476192,192.168.1.198,2,VSET,1
3801476192,192.168.1.198,2,ISET,2
3801476192,192.168.1.198,2,VOUT,1
3801476192,192.168.1.198,2,IOUT,0.119
0,,0,,0
3801476251,192.168.1.200,1,VSET,1.1
3801476251,192.168.1.200,1,ISET,3
3801476251,192.168.1.200,1,VOUT,1.1
3801476251,192.168.1.200,1,IOUT,0.325
3801476251,192.168.1.200,2,VSET,1.1
3801476251,192.168.1.200,2,ISET,2.01
3801476251,192.168.1.200,2,VOUT,1.1
3801476251,192.168.1.200,2,IOUT,0.138
3801476252,192.168.1.201,1,VSET,1
3801476252,192.168.1.201,1,ISET,2.001
3801476252,192.168.1.201,1,VOUT,1
3801476252,192.168.1.201,1,IOUT,0.148
3801476252,192.168.1.201,2,VSET,1.1
3801476252,192.168.1.201,2,ISET,2.1
3801476252,192.168.1.201,2,VOUT,1.1
3801476252,192.168.1.201,2,IOUT,0.076
3801476252,192.168.1.198,1,VSET,1
3801476252,192.168.1.198,1,ISET,2
3801476252,192.168.1.198,1,VOUT,1
3801476252,192.168.1.198,1,IOUT,0.117
3801476252,192.168.1.198,2,VSET,1
3801476252,192.168.1.198,2,ISET,2
3801476252,192.168.1.198,2,VOUT,1
3801476252,192.168.1.198,2,IOUT,0.119
0,,0,,0
3801476311,192.168.1.200,1,VSET,1.1
3801476311,192.168.1.200,1,ISET,3
3801476311,192.168.1.200,1,VOUT,1.1
3801476311,192.168.1.200,1,IOUT,0.328
3801476311,192.168.1.200,2,VSET,1.1
3801476311,192.168.1.200,2,ISET,2.01
3801476311,192.168.1.200,2,VOUT,1.1
3801476311,192.168.1.200,2,IOUT,0.138
3801476312,192.168.1.201,1,VSET,1
3801476312,192.168.1.201,1,ISET,2.001
3801476312,192.168.1.201,1,VOUT,1
3801476312,192.168.1.201,1,IOUT,0.159
3801476312,192.168.1.201,2,VSET,1.1
3801476312,192.168.1.201,2,ISET,2.1
3801476312,192.168.1.201,2,VOUT,1.1
3801476312,192.168.1.201,2,IOUT,0.022
3801476312,192.168.1.198,1,VSET,1
3801476312,192.168.1.198,1,ISET,2
3801476312,192.168.1.198,1,VOUT,1
3801476312,192.168.1.198,1,IOUT,0.117
3801476312,192.168.1.198,2,VSET,1
3801476312,192.168.1.198,2,ISET,2
3801476312,192.168.1.198,2,VOUT,1
3801476312,192.168.1.198,2,IOUT,0.119
0,,0,,0
3801476371,192.168.1.200,1,VSET,1.1
3801476371,192.168.1.200,1,ISET,3
3801476371,192.168.1.200,1,VOUT,1.1
3801476371,192.168.1.200,1,IOUT,0.328
3801476371,192.168.1.200,2,VSET,1.1
3801476371,192.168.1.200,2,ISET,2.01
3801476372,192.168.1.200,2,VOUT,1.1
3801476372,192.168.1.200,2,IOUT,0.138
3801476372,192.168.1.201,1,VSET,1
3801476372,192.168.1.201,1,ISET,2.001
3801476372,192.168.1.201,1,VOUT,1
3801476372,192.168.1.201,1,IOUT,0.159
3801476372,192.168.1.201,2,VSET,1.1
3801476372,192.168.1.201,2,ISET,2.1
3801476372,192.168.1.201,2,VOUT,1.1
3801476372,192.168.1.201,2,IOUT,0.019
3801476372,192.168.1.198,1,VSET,1
3801476372,192.168.1.198,1,ISET,2
3801476372,192.168.1.198,1,VOUT,1
3801476372,192.168.1.198,1,IOUT,0.117
3801476372,192.168.1.198,2,VSET,1
3801476372,192.168.1.198,2,ISET,2
3801476373,192.168.1.198,2,VOUT,1
3801476373,192.168.1.198,2,IOUT,0.119
0,,0,,0
3801476432,192.168.1.200,1,VSET,1.1
3801476432,192.168.1.200,1,ISET,3
3801476432,192.168.1.200,1,VOUT,1.1
3801476432,192.168.1.200,1,IOUT,0.328
3801476432,192.168.1.200,2,VSET,1.1
3801476432,192.168.1.200,2,ISET,2.01
3801476432,192.168.1.200,2,VOUT,1.1
3801476432,192.168.1.200,2,IOUT,0.138
3801476432,192.168.1.201,1,VSET,1
3801476432,192.168.1.201,1,ISET,2.001
3801476432,192.168.1.201,1,VOUT,1
3801476432,192.168.1.201,1,IOUT,0.158
3801476432,192.168.1.201,2,VSET,1.1
3801476432,192.168.1.201,2,ISET,2.1
3801476432,192.168.1.201,2,VOUT,1.1
3801476432,192.168.1.201,2,IOUT,0.02
3801476433,192.168.1.198,1,VSET,1
3801476433,192.168.1.198,1,ISET,2
3801476433,192.168.1.198,1,VOUT,1
3801476433,192.168.1.198,1,IOUT,0.117
3801476433,192.168.1.198,2,VSET,1
3801476433,192.168.1.198,2,ISET,2
3801476433,192.168.1.198,2,VOUT,1
3801476433,192.168.1.198,2,IOUT,0.119
0,,0,,0
3801476492,192.168.1.200,1,VSET,1.1
3801476492,192.168.1.200,1,ISET,3
3801476492,192.168.1.200,1,VOUT,1.1
3801476492,192.168.1.200,1,IOUT,0.328
3801476492,192.168.1.200,2,VSET,1.1
3801476492,192.168.1.200,2,ISET,2.01
3801476492,192.168.1.200,2,VOUT,1.1
3801476492,192.168.1.200,2,IOUT,0.138
3801476492,192.168.1.201,1,VSET,1
3801476492,192.168.1.201,1,ISET,2.001
3801476492,192.168.1.201,1,VOUT,1
3801476492,192.168.1.201,1,IOUT,0.158
3801476492,192.168.1.201,2,VSET,1.1
3801476492,192.168.1.201,2,ISET,2.1
3801476492,192.168.1.201,2,VOUT,1.1
3801476492,192.168.1.201,2,IOUT,0.014
3801476493,192.168.1.198,1,VSET,1
3801476493,192.168.1.198,1,ISET,2
3801476493,192.168.1.198,1,VOUT,1
3801476493,192.168.1.198,1,IOUT,0.117
3801476493,192.168.1.198,2,VSET,1
3801476493,192.168.1.198,2,ISET,2
3801476493,192.168.1.198,2,VOUT,1
3801476493,192.168.1.198,2,IOUT,0.119
0,,0,,0
3801476552,192.168.1.200,1,VSET,1.1
3801476552,192.168.1.200,1,ISET,3
3801476552,192.168.1.200,1,VOUT,1.1
3801476552,192.168.1.200,1,IOUT,0.328
3801476552,192.168.1.200,2,VSET,1.1
3801476552,192.168.1.200,2,ISET,2.01
3801476552,192.168.1.200,2,VOUT,1.1
3801476552,192.168.1.200,2,IOUT,0.138
3801476552,192.168.1.201,1,VSET,1
3801476552,192.168.1.201,1,ISET,2.001
3801476552,192.168.1.201,1,VOUT,1
3801476552,192.168.1.201,1,IOUT,0.157
3801476552,192.168.1.201,2,VSET,1.1
3801476552,192.168.1.201,2,ISET,2.1
3801476552,192.168.1.201,2,VOUT,1.1
3801476552,192.168.1.201,2,IOUT,0.064
3801476553,192.168.1.198,1,VSET,1
3801476553,192.168.1.198,1,ISET,2
3801476553,192.168.1.198,1,VOUT,1
3801476553,192.168.1.198,1,IOUT,0.117
3801476553,192.168.1.198,2,VSET,1
3801476553,192.168.1.198,2,ISET,2
3801476553,192.168.1.198,2,VOUT,1
3801476553,192.168.1.198,2,IOUT,0.119
0,,0,,0
3801476612,192.168.1.200,1,VSET,1.1
3801476612,192.168.1.200,1,ISET,3
3801476612,192.168.1.200,1,VOUT,1.1
3801476612,192.168.1.200,1,IOUT,0.222
3801476612,192.168.1.200,2,VSET,1.1
3801476612,192.168.1.200,2,ISET,2.01
3801476612,192.168.1.200,2,VOUT,1.1
3801476612,192.168.1.200,2,IOUT,0.138
3801476612,192.168.1.201,1,VSET,1
3801476612,192.168.1.201,1,ISET,2.001
3801476612,192.168.1.201,1,VOUT,1
3801476612,192.168.1.201,1,IOUT,0.158
3801476612,192.168.1.201,2,VSET,1.1
3801476612,192.168.1.201,2,ISET,2.1
3801476612,192.168.1.201,2,VOUT,1.1
3801476612,192.168.1.201,2,IOUT,0.041
3801476613,192.168.1.198,1,VSET,1
3801476613,192.168.1.198,1,ISET,2
3801476613,192.168.1.198,1,VOUT,1
3801476613,192.168.1.198,1,IOUT,0.118
3801476613,192.168.1.198,2,VSET,1
3801476613,192.168.1.198,2,ISET,2
3801476613,192.168.1.198,2,VOUT,1
